480,640
480,640
480,640
1080,640
240,320
240,320
480,640
480,640
480,640
480,640
480,640
480,640
480,640
480,1280
480,640
480,640
480,640
480,640
2400,640
3600,640
480,640
480,640
480,1280
768,1024
480,640
240,540
480,640
240,320
240,540
240,320
240,700
240,320
420,320
480,960
240,1800
240,600
240,2040
240,920
240,1320
320,580
640,760
240,600
1240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,540
240,320
240,320
420,940
240,320
240,620
500,820
240,320
1160,640
480,1400
480,640
480,640
480,640
480,640
1160,640
1600,1520
1000,1000
480,640
480,640
480,640
480,1240
480,1280
480,1640
480,640
480,640
480,640
480,640
480,640
1520,2320
480,1280
1840,640
480,1680
1280,1680
2240,1440
1240,1320
480,1040
480,640
480,640
560,1879
480,640
3000,1760
480,2560
480,640
9000,3120
480,1780
480,640
840,1920
1120,2160
1640,2160
2800,3200
480,640
960,1280
960,640
480,1920
2600,640
1840,1920
480,640
480,640
480,640
480,640
480,640
480,640
480,1280
480,1280
880,640
480,1920
480,2320
960,1280
480,840
520,640
840,1080
480,2120
1440,1400
480,1920
480,640
1720,2200
2920,2000
480,1160
920,2160
480,640
640,5000
480,960
480,4600
480,1280
2440,7200
480,1920
2480,2080
480,4400
480,2800
480,1600
480,640
480,640
480,640
480,2080
480,2080
480,640
1720,2200
2920,2000
480,1280
960,1280
480,1280
480,640
480,2400
480,640
480,640
480,1960
480,640
480,640
480,640
480,2200
880,920
1320,1320
480,640
1320,1160
1000,1360
1640,1720
480,1920
480,1280
4800,640
4800,640
4800,640
4800,640
480,1280
480,640
960,1920
480,1920
480,640
480,640
2560,2560
960,2720
480,640
480,1720
960,640
480,1920
1160,1480
480,640
480,1240
480,2560
480,1920
480,1800
480,1280
480,640
480,640
480,3880
480,640
480,3200
1000,1600
480,1160
960,2640
480,1840
480,2560
480,2560
480,640
480,640
480,1600
1400,1640
640,1840
720,1240
840,720
1440,1280
3200,640
480,640
480,1920
480,960
1600,5000
880,1440
480,640
480,640
480,640
1920,640
720,2320
480,640
480,1920
480,3720
480,2560
480,640
240,320
240,320
240,320
480,640
480,640
480,640
480,640
480,640
240,320
480,640
480,640
480,640
240,320
240,320
480,640
480,640
3000,1760
480,640
1080,1320
480,640
960,1280
1920,1280
960,640
1040,1360
480,1280
480,1720
960,1880
480,1160
4800,640
960,960
1240,2160
480,1960
480,640
640,2560
480,1280
2800,2000
480,640
480,640
480,640
1720,2120
960,800
800,800
480,640
480,640
480,640
480,640
480,640
240,320
480,640
480,640
240,320
240,540
240,320
240,700
240,320
420,320
240,320
240,1800
240,600
240,2040
240,920
240,1320
320,580
640,760
240,600
1240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
240,320
420,940
240,320
240,620
500,820
240,320
480,640
480,640
520,3640
1280,1520
480,640
480,1320
480,1360
880,2040
1000,5400
1840,640
480,640
1160,640
1000,1000
480,1400
480,640
1000,640
480,1040
680,2000
680,2000
480,640
480,640
480,1600
1480,1960
480,640
480,640
480,640
480,640
480,1200
480,640
480,1040
480,1640
480,2000
480,1720
480,2000
480,640
480,2000
480,2000
480,640
480,1040
480,640
480,840
920,1400
1000,1400
480,640
480,640
800,1520
480,640
720,1340
480,1280
480,640
1000,1400
1480,1640
480,1120
480,640
480,2640
1040,1680
480,640
680,640
480,640
680,640
880,640
480,640
480,640
480,1240
480,1520
480,1520
480,1520
480,2000
480,3000
3000,640
1200,640
680,1260
480,2000
480,640
480,1440
480,640
480,640
1200,1840
480,640
480,640
1080,1840
480,640
1680,1600
480,640
880,1240
480,640
1200,1360
480,640
480,640
1160,640
480,640
480,1440
800,640
480,1040
480,2000
1080,640
480,640
240,320
240,320
480,640
480,640
480,640
240,320
240,320
480,640
480,640
240,320
240,320
480,640
480,640
2,2
480,640
